date,ts,total_positives,student_positives,staff_positives,faculty_positives,tests_administered,cumulative_total_positives,total_positives_rolling_avg,cumulative_student_positives,student_positives_rolling_avg,cumulative_staff_positives,staff_positives_rolling_avg,cumulative_faculty_positives,faculty_positives_rolling_avg,cumulative_tests_administered,tests_administered_rolling_avg
9/1/2020,1598932800000,7,7,0,0,1259,7,,7,,0,,0,,1259,
9/2/2020,1599019200000,12,12,0,0,385,19,,19,,0,,0,,1644,
9/3/2020,1599105600000,12,12,0,0,4646,31,,31,,0,,0,,6290,
9/4/2020,1599192000000,14,14,0,0,4978,45,,45,,0,,0,,11268,
9/5/2020,1599278400000,6,6,0,0,2857,51,,51,,0,,0,,14125,
9/6/2020,1599364800000,5,5,0,0,2894,56,,56,,0,,0,,17019,
9/7/2020,1599451200000,6,6,0,0,5026,62,8.857142857142858,62,8.857142857142858,0,0,0,0,22045,3149.285714285714
9/8/2020,1599537600000,3,3,0,0,4730,65,8.285714285714286,65,8.285714285714286,0,0,0,0,26775,3645.1428571428573
9/9/2020,1599624000000,13,13,0,0,3872,78,8.428571428571429,78,8.428571428571429,0,0,0,0,30647,4143.285714285715
9/10/2020,1599710400000,6,5,1,0,5117,84,7.571428571428571,83,7.428571428571429,1,0.14285714285714285,0,0,35764,4210.571428571428
9/11/2020,1599796800000,4,4,0,0,5121,88,6.142857142857143,87,6,1,0.14285714285714285,0,0,40885,4231
9/12/2020,1599883200000,3,3,0,0,2770,91,5.714285714285714,90,5.571428571428571,1,0.14285714285714285,0,0,43655,4218.571428571428
9/13/2020,1599969600000,0,0,0,0,2914,91,5,90,4.857142857142857,1,0.14285714285714285,0,0,46569,4221.428571428572
9/14/2020,1600056000000,0,0,0,0,5969,91,4.142857142857143,90,4,1,0.14285714285714285,0,0,52538,4356.142857142857
9/15/2020,1600142400000,0,0,0,0,5228,91,3.7142857142857144,90,3.5714285714285716,1,0.14285714285714285,0,0,57766,4427.285714285715
9/16/2020,1600228800000,1,1,0,0,5010,92,2,91,1.8571428571428572,1,0.14285714285714285,0,0,62776,4589.857142857143
9/17/2020,1600315200000,0,0,0,0,5483,92,1.1428571428571428,91,1.1428571428571428,1,0,0,0,68259,4642.142857142857
9/18/2020,1600401600000,1,1,0,0,5509,93,0.7142857142857143,92,0.7142857142857143,1,0,0,0,73768,4697.571428571428
9/19/2020,1600488000000,0,0,0,0,2705,93,0.2857142857142857,92,0.2857142857142857,1,0,0,0,76473,4688.285714285715
9/20/2020,1600574400000,1,0,1,0,2797,94,0.42857142857142855,92,0.2857142857142857,2,0.14285714285714285,0,0,79270,4671.571428571428
9/21/2020,1600660800000,2,1,1,0,5958,96,0.7142857142857143,93,0.42857142857142855,3,0.2857142857142857,0,0,85228,4670
9/22/2020,1600747200000,1,1,0,0,5276,97,0.8571428571428571,94,0.5714285714285714,3,0.2857142857142857,0,0,90504,4676.857142857143
9/23/2020,1600833600000,1,1,0,0,5275,98,0.8571428571428571,95,0.5714285714285714,3,0.2857142857142857,0,0,95779,4714.714285714285
9/24/2020,1600920000000,0,0,0,0,5865,98,0.8571428571428571,95,0.5714285714285714,3,0.2857142857142857,0,0,101644,4769.285714285715
9/25/2020,1601006400000,1,0,1,0,5776,99,0.8571428571428571,95,0.42857142857142855,4,0.42857142857142855,0,0,107420,4807.428571428572
9/26/2020,1601092800000,1,0,1,0,2676,100,1,95,0.42857142857142855,5,0.5714285714285714,0,0,110096,4803.285714285715
9/27/2020,1601179200000,0,0,0,0,3105,100,0.8571428571428571,95,0.42857142857142855,5,0.42857142857142855,0,0,113201,4847.285714285715
9/28/2020,1601265600000,1,1,0,0,6301,101,0.7142857142857143,96,0.42857142857142855,5,0.2857142857142857,0,0,119502,4896.285714285715
9/29/2020,1601352000000,1,1,0,0,5714,102,0.7142857142857143,97,0.42857142857142855,5,0.2857142857142857,0,0,125216,4958.857142857143
9/30/2020,1601438400000,0,0,0,0,5536,102,0.5714285714285714,97,0.2857142857142857,5,0.2857142857142857,0,0,130752,4996.142857142857
10/1/2020,1601524800000,0,0,0,0,5905,102,0.5714285714285714,97,0.2857142857142857,5,0.2857142857142857,0,0,136657,5001.857142857143
10/2/2020,1601611200000,2,2,0,0,5889,104,0.7142857142857143,99,0.5714285714285714,5,0.14285714285714285,0,0,142546,5018
10/3/2020,1601697600000,0,0,0,0,2913,104,0.5714285714285714,99,0.5714285714285714,5,0,0,0,145459,5051.857142857143
10/4/2020,1601784000000,0,0,0,0,2970,104,0.5714285714285714,99,0.5714285714285714,5,0,0,0,148429,5032.571428571428
10/5/2020,1601870400000,2,2,0,0,6386,106,0.7142857142857143,101,0.7142857142857143,5,0,0,0,154815,5044.714285714285
10/6/2020,1601956800000,1,1,0,0,5629,107,0.7142857142857143,102,0.7142857142857143,5,0,0,0,160444,5032.571428571428
10/7/2020,1602043200000,1,1,0,0,5407,108,0.8571428571428571,103,0.8571428571428571,5,0,0,0,165851,5014.142857142857
10/8/2020,1602129600000,1,0,1,0,5855,109,1,103,0.8571428571428571,6,0.14285714285714285,0,0,171706,5007
10/9/2020,1602216000000,0,0,0,0,5973,109,0.7142857142857143,103,0.5714285714285714,6,0.14285714285714285,0,0,177679,5019
10/10/2020,1602302400000,0,0,0,0,2769,109,0.7142857142857143,103,0.5714285714285714,6,0.14285714285714285,0,0,180448,4998.428571428572
10/11/2020,1602388800000,0,0,0,0,3047,109,0.7142857142857143,103,0.5714285714285714,6,0.14285714285714285,0,0,183495,5009.428571428572
10/12/2020,1602475200000,0,0,0,0,6221,109,0.42857142857142855,103,0.2857142857142857,6,0.14285714285714285,0,0,189716,4985.857142857143
10/13/2020,1602561600000,0,0,0,0,5557,109,0.2857142857142857,103,0.14285714285714285,6,0.14285714285714285,0,0,195273,4975.571428571428
10/14/2020,1602648000000,2,0,2,0,5304,111,0.42857142857142855,103,0,8,0.42857142857142855,0,0,200577,4960.857142857143
10/15/2020,1602734400000,3,1,2,0,5957,114,0.7142857142857143,104,0.14285714285714285,10,0.5714285714285714,0,0,206534,4975.428571428572
10/16/2020,1602820800000,1,1,0,0,5876,115,0.8571428571428571,105,0.2857142857142857,10,0.5714285714285714,0,0,212410,4961.571428571428
10/17/2020,1602907200000,1,0,1,0,2878,116,1,105,0.2857142857142857,11,0.7142857142857143,0,0,215288,4977.142857142857
10/18/2020,1602993600000,0,0,0,0,2935,116,1,105,0.2857142857142857,11,0.7142857142857143,0,0,218223,4961.142857142857
10/19/2020,1603080000000,3,3,0,0,6270,119,1.4285714285714286,108,0.7142857142857143,11,0.7142857142857143,0,0,224493,4968.142857142857
10/20/2020,1603166400000,0,0,0,0,5683,119,1.4285714285714286,108,0.7142857142857143,11,0.7142857142857143,0,0,230176,4986.142857142857
10/21/2020,1603252800000,3,0,3,0,5502,122,1.5714285714285714,108,0.7142857142857143,14,0.8571428571428571,0,0,235678,5014.428571428572
10/22/2020,1603339200000,1,0,1,0,5855,123,1.2857142857142858,108,0.5714285714285714,15,0.7142857142857143,0,0,241533,4999.857142857143
10/23/2020,1603425600000,2,1,1,0,5880,125,1.4285714285714286,109,0.5714285714285714,16,0.8571428571428571,0,0,247413,5000.428571428572
10/24/2020,1603512000000,0,0,0,0,2827,125,1.2857142857142858,109,0.5714285714285714,16,0.7142857142857143,0,0,250240,4993.142857142857
10/25/2020,1603598400000,0,0,0,0,3060,125,1.2857142857142858,109,0.5714285714285714,16,0.7142857142857143,0,0,253300,5011
10/26/2020,1603684800000,0,0,0,0,6366,125,0.8571428571428571,109,0.14285714285714285,16,0.7142857142857143,0,0,259666,5024.714285714285
10/27/2020,1603771200000,0,0,0,0,5699,125,0.8571428571428571,109,0.14285714285714285,16,0.7142857142857143,0,0,265365,5027
10/28/2020,1603857600000,3,2,1,0,5398,128,0.8571428571428571,111,0.42857142857142855,17,0.42857142857142855,0,0,270763,5012.142857142857
10/29/2020,1603944000000,2,0,2,0,5814,130,1,111,0.42857142857142855,19,0.5714285714285714,0,0,276577,5006.285714285715
10/30/2020,1604030400000,4,2,2,0,5909,134,1.2857142857142858,113,0.5714285714285714,21,0.7142857142857143,0,0,282486,5010.428571428572
10/31/2020,1604116800000,0,0,0,0,2845,134,1.2857142857142858,113,0.5714285714285714,21,0.7142857142857143,0,0,285331,5013
11/1/2020,1604203200000,1,0,1,0,2970,135,1.4285714285714286,113,0.5714285714285714,22,0.8571428571428571,0,0,288301,5000.142857142857
11/2/2020,1604293200000,1,0,1,0,6308,136,1.5714285714285714,113,0.5714285714285714,23,1,0,0,294609,4991.857142857143
11/3/2020,1604379600000,2,1,1,0,5643,138,1.8571428571428572,114,0.7142857142857143,24,1.1428571428571428,0,0,300252,4983.857142857143
11/4/2020,1604466000000,5,1,4,0,5447,143,2.142857142857143,115,0.5714285714285714,28,1.5714285714285714,0,0,305699,4990.857142857143
11/5/2020,1604552400000,2,0,2,0,5931,145,2.142857142857143,115,0.5714285714285714,30,1.5714285714285714,0,0,311630,5007.571428571428
11/6/2020,1604638800000,2,0,2,0,5842,147,1.8571428571428572,115,0.2857142857142857,32,1.5714285714285714,0,0,317472,4998
11/7/2020,1604725200000,1,1,0,0,2814,148,2,116,0.42857142857142855,32,1.5714285714285714,0,0,320286,4993.571428571428
11/8/2020,1604811600000,1,1,0,0,3024,149,2,117,0.5714285714285714,32,1.4285714285714286,0,0,323310,5001.285714285715
11/9/2020,1604898000000,2,0,2,0,6419,151,2.142857142857143,117,0.5714285714285714,34,1.5714285714285714,0,0,329729,5017.142857142857
11/10/2020,1604984400000,0,0,0,0,5622,151,1.8571428571428572,117,0.42857142857142855,34,1.4285714285714286,0,0,335351,5014.142857142857
11/11/2020,1605070800000,6,6,0,0,5443,157,2,123,1.1428571428571428,34,0.8571428571428571,0,0,340794,5013.571428571428
11/12/2020,1605157200000,14,12,2,0,5859,171,3.7142857142857144,135,2.857142857142857,36,0.8571428571428571,0,0,346653,5003.285714285715
11/13/2020,1605243600000,9,7,2,0,6031,180,4.714285714285714,142,3.857142857142857,38,0.8571428571428571,0,0,352684,5030.285714285715
